,UNIT,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025
Marketing,BRL,"R$75.650,00","R$60.418,00","R$42.764,00","R$69.568,00","R$66.992,00","R$73.021,00","R$58.698,00","R$46.156,89","R$42.634,08","R$54.194,00"
NAU,Users,45.790,37.258,28.067,41.484,44.497,44.662,35.976,26.965,26.723,35.075
     NAU (%),%,"0,00%","-18,63%","-24,67%","47,80%","7,26%","0,37%","-19,45%","-25,05%","-0,90%","31,25%"
MAU,Users,153.947,152.541,139.842,151.687,160.439,161.759,150.543,134.836,128.223,133.389
     MAU (%),%,"0,00%","-0,91%","-8,32%","8,47%","5,77%","0,82%","-6,93%","-10,43%","-4,90%","4,03%"
CPA,BRL,"R$1,65","R$1,62","R$1,52","R$1,68","R$1,51","R$1,63","R$1,63","R$1,71","R$1,60","R$1,55"
ARPU,BRL,"R$2,08","R$1,92","R$1,98","R$2,14","R$2,43","R$2,48","R$2,48","R$2,49","R$2,52","R$2,50"
     ARPU (%),%,"0,00%","-7,69%","3,13%","8,08%","13,55%","2,06%","0,00%","0,40%","1,20%","-0,79%"
ARPPU,BRL,"R$23,15","R$22,22","R$22,45","R$23,95","R$27,19","R$28,70","R$29,44","R$30,53","R$30,97","R$28,63"
     ARPPU (%),%,"0,00%","-4,02%","1,04%","6,68%","13,53%","5,55%","2,58%","3,70%","1,44%","-7,56%"
Subscription Conversion,%,"8,02%","8,17%","8,69%","8,79%","8,78%","8,53%","8,43%","8,38%","8,39%","8,68%"
,,,,,,,,,,,
ROI,%,"292,32%","363,65%","591,93%","349,17%","456,92%","494,09%","515,08%","591,62%","712,13%","527,37%"
Mkt/Revenue,%,"25,49%","21,57%","14,45%","22,26%","17,96%","16,83%","16,26%","14,46%","12,31%","15,94%"
,,,,,,,,,,,
Revenue,BRL,"R$251.894,18","R$237.763,73","R$251.299,73","R$264.205,47","R$316.589,70","R$368.303,82","R$306.444,39","R$271.334,29","R$292.489,30","R$285.563,41"
     Revenue (%),%,"0,00%","-5,61%","5,69%","5,14%","19,83%","16,33%","-16,80%","-11,46%","7,80%","-2,37%"
"E(Revenue) [MAU x ARPU x 0,85]",BRL,"R$272.178,30","R$248.946,91","R$235.354,09","R$275.918,65","R$331.386,75","R$340.987,97","R$317.344,64","R$285.380,39","R$274.653,67","R$283.451,63"
     Δ(R$),BRL,"-R$20.284,11","-R$11.183,18","R$15.945,65","-R$11.713,18","-R$14.797,05","R$27.315,84","-R$10.900,26","-R$14.046,11","R$17.835,63","R$2.111,78"
     Δ(%),%,"8,05%","4,70%","-6,35%","4,43%","4,67%","-7,42%","3,56%","5,18%","-6,10%","-0,74%"
,,,,,,,,,,,
"E(Revenue) [MAU x Subscription Conversion x ARPPU x 0,85]",BRL,"R$242.949,23","R$235.381,12","R$231.895,69","R$271.432,40","R$325.561,17","R$336.603,25","R$317.573,95","R$293.221,36","R$283.196,59","R$281.760,44"
     Δ(R$),BRL,"R$8.944,96","R$2.382,61","R$19.404,04","-R$7.226,92","-R$8.971,46","R$31.700,56","-R$11.129,56","-R$21.887,07","R$9.292,70","R$3.802,97"
     Δ(%),%,"-3,55%","-1,00%","-7,72%","2,74%","2,83%","-8,61%","3,63%","8,07%","-3,18%","-1,33%"
,,,,,,,,,,,
IAPHUB,BRL,"R$317.560,71","R$292.429,13","R$277.335,25","R$326.637,07","R$389.828,60","R$400.157,28","R$375.884,27","R$337.673,57","R$324.722,08","R$336.372,03"
"IAPHUB x 0,85",BRL,"R$269.926,60","R$248.564,76","R$235.734,96","R$277.641,51","R$331.354,31","R$340.133,69","R$319.501,63","R$287.022,53","R$276.013,77","R$285.916,23"
"E(Revenue) [MAU x ARPU x 0,85]",BRL,"R$272.178,30","R$248.946,91","R$235.354,09","R$275.918,65","R$331.386,75","R$340.987,97","R$317.344,64","R$285.380,39","R$274.653,67","R$283.451,63"
     Δ(R$),BRL,"-R$2.251,69","-R$382,15","R$380,88","R$1.722,86","-R$32,44","-R$854,28","R$2.156,99","R$1.642,14","R$1.360,10","R$2.464,60"
     Δ(%),%,"0,83%","0,15%","-0,16%","-0,62%","0,01%","0,25%","-0,68%","-0,57%","-0,49%","-0,86%"
,,"7,16%","4,54%","-6,19%","5,09%","4,66%","-7,65%","4,26%","5,78%","-5,63%","0,12%"
"E(Revenue) [MAU x Subscription Conversion x ARPPU x 0,85]",BRL,"R$242.949,23","R$235.381,12","R$231.895,69","R$271.432,40","R$325.561,17","R$336.603,25","R$317.573,95","R$293.221,36","R$283.196,59","R$281.760,44"
     Δ(R$),BRL,"R$8.944,96","R$2.382,61","R$19.404,04","-R$7.226,92","-R$8.971,46","R$31.700,56","-R$11.129,56","-R$21.887,07","R$9.292,70","R$3.802,97"
     Δ(%),%,"-9,99%","-5,30%","-1,63%","-2,24%","-1,75%","-1,04%","-0,60%","2,16%","2,60%","-1,45%"
