*Tudo deve estar em Regime de Competência,UNIT,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025
NAU,Users,45.790,37.258,28.067,41.484,44.497,44.662,35.976,26.965,26.723,35.075,40.553,42.164,41.823,,,,,,,
    Brazil,Users,45.718,36.932,27.894,41.222,43.513,41.066,32.597,23.802,23.835,32.779,38.684,40.091,39.649,,,,,,,
        EaM,Users,24.155,25.233,18.479,27.898,29.557,28.599,22.341,16.563,16.051,20.820,24.132,25.877,27.126,,,,,,,
        Affiliates & Events,Users,284,198,77,84,72,41,72,27,32,154,170,34,59,,,,,,,
        Ads,Users,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
        Organic,Users,35,9.054,7.582,11.090,11.442,10.441,8.649,6.211,6.778,10.319,12.409,11.999,10.519,,,,,,,
    USA,Users,72,326,173,262,984,3.596,3.379,3.163,2.888,2.296,1.869,2.073,2.174,,,,,,,
        EaM,Users,6,153,29,13,674,3.109,2.901,2.759,2.426,1.897,1.498,1.707,1.856,,,,,,,
        Ads,Users,-,-,-,-,-,-,-,-,-,-,1,-,-,,,,,,,
        Organic,Users,42,151,132,239,293,442,434,376,440,377,349,345,299,,,,,,,
CPA,BRL,"R$1,65","R$1,62","R$1,52","R$1,68","R$1,51","R$1,63","R$1,63","R$1,71","R$1,60","R$1,55","R$1,45","R$1,54","R$1,63",,,,,,,
    Brazil,BRL,-,-,-,-,-,-,-,-,-,"R$1,53","R$1,52","R$1,62","R$1,72",,,,,,,
        EaM,BRL,-,-,-,-,-,-,-,-,-,"R$2,41","R$2,26","R$2,36","R$2,28",,,,,,,
        Ads,BRL,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
    USA,BRL,-,-,-,-,-,-,-,-,-,"R$1,65","R$1,98","R$1,80","R$2,98",,,,,,,
        EaM,BRL,-,-,-,-,-,-,-,-,-,"R$1,99","R$2,01","R$2,19","R$2,43",,,,,,,
        Ads,BRL,-,-,-,-,-,-,-,-,-,-,"R$680,84",-,∞,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Revenue,BRL,"R$296.789,07","R$280.125,54","R$295.896,13","R$312.477,25","R$373.093,64","R$433.808,75","R$361.041,24","R$319.228,47","R$346.244,33","R$339.996,01","R$374.595,49","R$453.617,10","R$412.113,51","R$391.983,06","R$419.259,19","R$436.044,68","R$350.105,06","R$350.105,06","R$350.105,06","R$350.105,06"
Revenue no Tax (total das receitas recebidas em conta),BRL,"R$251.894,18","R$237.763,73","R$251.299,73","R$264.205,47","R$316.589,70","R$368.303,82","R$306.444,39","R$271.334,29","R$292.489,30","R$285.563,41","R$315.609,77","R$382.470,65","R$343.265,05","R$328.954,85","R$347.682,41","R$365.537,97","R$292.489,30","R$292.489,30","R$292.489,30","R$292.489,30"
     Google (IAPHUB),BRL,"R$133.896,81","R$128.538,81","R$120.650,99","R$136.242,75","R$161.029,19","R$164.318,72","R$147.955,07","R$129.912,67","R$126.632,36","R$130.569,10",,,,,,,,,,
     Google (IAPHUB) x 0.85,BRL,"R$113.812,29","R$109.257,99","R$102.553,34","R$115.806,34","R$136.874,81","R$139.670,91","R$125.761,81","R$110.425,77","R$107.637,51","R$110.983,74",,,,,,,,,,
          Δ(%),%,"-1,80%","-2,00%","-1,58%","-1,34%","-1,28%","-0,77%","-1,59%","-0,70%","-0,96%","-1,99%",,,,,,,,,,
     Google,BRL,"R$115.892,58","R$111.484,40","R$104.203,45","R$117.381,93","R$138.643,10","R$140.760,02","R$127.793,65","R$111.205,35","R$108.679,19","R$113.233,66","R$134.292,68","R$145.146,43","R$144.418,07","R$136.745,26","R$126.900,23","R$146.393,71","R$117.331,67","R$116.144,47","R$117.002,08","R$115.993,14"
          Brazil,BRL,"R$115.647,72","R$110.836,86","R$103.729,41","R$117.208,60","R$137.471,61",-,-,"R$108.453,24","R$106.918,45","R$111.556,69",-,-,-,,,,,,,
          Brazil Margin (%),%,"99,79%","99,42%","99,55%","99,85%","99,16%",#VALUE!,#VALUE!,"98,19%","98,38%","98,52%",#VALUE!,#VALUE!,#VALUE!,,,,,,,
          USA,BRL,"R$244,86","R$647,54","R$474,04","R$173,33","R$1.171,49",-,-,"R$2.004,38","R$1.760,74","R$1.676,97",-,-,-,,,,,,,
          USA Margin (%),%,"0,21%","0,58%","0,45%","0,15%","0,84%",#VALUE!,#VALUE!,"1,81%","1,62%","1,48%",#VALUE!,#VALUE!,#VALUE!,,,,,,,
     Apple (IAPHUB),BRL,"R$183.663,90","R$163.890,32","R$156.684,26","R$190.394,32","R$228.799,41","R$235.838,56","R$227.849,30","R$207.760,90","R$197.945,00","R$205.338,48",,,,,,,,,,
     Apple (IAPHUB) x 0.85,BRL,"R$156.114,32","R$139.306,77","R$133.181,62","R$161.835,17","R$194.479,50","R$200.462,78","R$193.671,91","R$176.596,77","R$168.253,25","R$174.537,71",,,,,,,,,,
